GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4
 "00000","United States", ,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",14771602.0,14839782.0,14972054.0,15066597.0,15267026.0,15302705.0,15326368.0,15456928.0,15493328.0,15582085.0,15666738.0,15761967.0,15671383.0,15752308.0,15667032.0,15328027.0,15155940.0,15134117.0,15189222.0,15356058.0,15415145.0,15557277.0,15671967.0,15750625.0,15712754.0,15825096.0,15820700.0,16004107.0,16129418.0,16198807.0,16220667.0,16239138.0,16382964.0,16403180.0,16531685.0,16663649.0,16616540.0,16841475.0,17047098.0,17143038.0,17277580.0,17405669.0,17463222.0,17468902.0,17556839.0,17639417.0,17735074.0,17824231.0,17925256.0,18021048.0,18163558.0,18322464.0,18438254.0,18598135.0,18732720.0,18783548.0,18927281.0,19021860.0,19121112.0,19221970.0
 "00000","United States", ,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.200,91.621,92.437,93.021,94.258,94.479,94.625,95.431,95.655,96.203,96.726,97.314,96.755,97.254,96.728,94.635,93.572,93.438,93.778,94.808,95.173,96.050,96.758,97.244,97.010,97.704,97.677,98.809,99.583,100.011,100.146,100.260,101.148,101.273,102.066,102.881,102.590,103.979,105.248,105.841,106.671,107.462,107.818,107.853,108.396,108.905,109.496,110.046,110.670,111.262,112.141,113.123,113.837,114.825,115.655,115.969,116.857,117.441,118.053,118.676
 "00000","United States", ,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",12761337.0,12910022.0,13142873.0,13332316.0,13603933.0,13749806.0,13867469.0,14037228.0,14208569.0,14382363.0,14535003.0,14681501.0,14651039.0,14805611.0,14835187.0,14559543.0,14394547.0,14352850.0,14420312.0,14628021.0,14721350.0,14926098.0,15079917.0,15240843.0,15285828.0,15496189.0,15591850.0,15796460.0,16019758.0,16152257.0,16257151.0,16358863.0,16569591.0,16637926.0,16848748.0,17083137.0,17104555.0,17432909.0,17721657.0,17849912.0,17984178.0,18219405.0,18344713.0,18350825.0,18424283.0,18637253.0,18806743.0,18991883.0,19190431.0,19356649.0,19611704.0,19918910.0,20163159.0,20510177.0,20749752.0,20897804.0,21098827.0,21340267.0,21542540.0,21729124.0
 "01000","Alabama",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",179355.5,181373.0,181292.6,183522.6,183884.5,185071.6,185017.6,185211.9,184001.5,185320.9,186728.3,187424.6,186680.6,187756.0,186204.6,180550.5,177770.1,177663.0,178037.4,178615.2,178634.2,181222.3,184707.6,184486.8,183263.0,184220.4,185059.8,187676.1,187324.9,187603.0,185326.5,184941.5,188940.5,187987.0,188990.7,186742.3,184274.5,186770.5,188058.3,188292.7,187605.0,189727.6,190535.1,189488.8,189832.9,191008.8,190751.8,191218.7,191910.7,191899.3,192940.6,195345.0,196462.2,197698.7,199129.0,200453.8,201554.6,202432.7,203289.5,204484.3
 "01000","Alabama",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.273,97.356,97.313,98.510,98.704,99.341,99.312,99.416,98.767,99.475,100.230,100.604,100.205,100.782,99.949,96.914,95.422,95.364,95.565,95.876,95.886,97.275,99.146,99.027,98.370,98.884,99.335,100.739,100.551,100.700,99.478,99.271,101.418,100.906,101.445,100.238,98.913,100.253,100.944,101.070,100.701,101.840,102.274,101.712,101.897,102.528,102.390,102.641,103.012,103.006,103.565,104.856,105.455,106.119,106.887,107.598,108.189,108.660,109.120,109.761
 "01000","Alabama",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",152640.8,154962.5,156410.9,159867.4,161258.9,163487.0,164821.2,165847.3,166535.8,168952.2,171085.0,172140.4,172011.7,174002.6,174246.9,170486.2,168107.3,167629.9,168164.1,169490.8,170131.0,173366.0,177418.2,178096.8,178013.6,180126.2,182389.7,184869.6,185712.3,187142.2,185932.6,186408.8,190975.5,190556.0,192536.9,191855.6,189970.9,193552.9,196075.6,197244.7,197319.3,200574.9,202377.2,201339.5,201373.7,203904.4,204278.5,205762.8,207637.5,208359.9,210680.7,214779.5,217369.7,220572.2,223140.7,225859.4,227735.0,229939.2,232144.7,234054.2
 "02000","Alaska",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",44760.5,45182.9,44829.0,45434.0,46682.9,48226.1,48812.8,50346.4,50707.8,51595.1,51499.7,50653.6,49447.9,48445.0,50485.3,55157.7,57196.3,56594.2,55128.7,54431.4,53116.3,54392.8,54710.3,54386.2,52798.7,53990.6,54697.9,57095.7,57042.6,58585.4,58119.2,56933.4,56263.1,54278.0,54544.0,53915.0,52932.8,53081.2,53305.9,53772.0,54326.2,53768.7,53634.9,53464.8,53531.7,52761.0,52314.6,52235.5,52406.2,52588.0,53177.0,52738.3,52638.9,52825.5,53289.1,53616.0,53856.2,54402.3,54727.1,54786.0
 "02000","Alaska",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.615,78.347,77.734,78.782,80.948,83.624,84.641,87.301,87.927,89.466,89.300,87.833,85.743,84.004,87.541,95.643,99.178,98.134,95.593,94.384,92.104,94.317,94.868,94.306,91.553,93.620,94.846,99.004,98.912,101.587,100.779,98.722,97.560,94.118,94.579,93.489,91.785,92.043,92.432,93.241,94.202,93.235,93.003,92.708,92.824,91.488,90.714,90.576,90.872,91.188,92.209,91.448,91.276,91.599,92.403,92.970,93.387,94.334,94.897,94.999
 "02000","Alaska",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",37377.7,38626.0,40251.7,42843.8,42633.9,44349.8,45038.2,45719.4,46441.9,48737.4,49602.3,51108.7,52412.2,55933.6,57385.7,53278.2,50476.6,49204.5,48562.2,50100.2,51525.4,52519.9,53446.7,54038.1,53886.2,56402.1,56441.0,58310.4,57858.8,58023.9,57679.4,57118.4,57342.3,56056.8,57173.8,55918.1,55992.1,56358.6,55722.2,54020.9,51319.1,51379.8,50342.3,49525.1,48551.0,49272.9,49488.5,50141.4,51099.7,51274.0,52060.2,52778.4,53563.0,54372.7,55410.0,55590.6,54941.4,55494.6,55429.6,55758.7
 "04000","Arizona",6,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",255921.4,261073.7,267038.7,268210.0,274037.7,274942.9,278323.4,281849.0,282009.3,284354.6,287204.7,286059.6,283848.7,281718.6,277411.4,266929.6,258558.1,254185.1,252110.1,255469.6,252569.2,256478.2,259119.9,261771.6,260711.7,261668.8,262565.0,267899.0,267973.2,269036.3,267840.2,268305.6,269504.0,269291.8,270114.7,271685.2,271834.6,272939.5,274973.8,274960.6,277961.2,280165.1,279772.0,283019.8,284338.7,288306.4,291788.7,292487.9,295470.3,296693.1,301834.2,303625.1,307712.1,309716.9,313807.9,315585.6,318103.5,320415.8,322292.9,324915.4
