"","ï..Demographic","January..17","February..17","March..17","April..17","May..17","June..17","July..17","August..17","September..17","October..17","November..17","December..17","January..18","February..18","March..18","April..18","May..18","June..18","July..18","August..18","September..18","October..18","November..18","December..18","January..19","February..19","March..19","April..19","May..19","June..19","July..19","August..19","September..19","October..19","November..19","December..19","January..20","February..20"
"1","","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval","Approval"
"2","Alabama","62","65","62","63","56","54","58","56","59","60","60","60","63","61","63","62","63","63","63","63","62","62","62","58","58","61","61","61","61","60","61","60","59","59","59","59","60","62"
"3","Alaska","55","60","65","64","60","54","54","48","52","54","49","51","48","55","52","52","51","53","55","52","48","54","53","49","48","49","47","48","47","48","46","48","48","47","53","47","48","51"
"4","Arizona","55","54","53","54","51","48","47","46","44","47","44","47","46","50","48","48","49","48","48","47","47","49","47","44","44","45","45","44","45","45","45","46","47","46","46","47","48","49"
"5","Arkansas","59","59","60","56","54","53","55","54","54","54","51","53","53","52","55","54","54","55","55","56","54","55","55","53","53","51","52","53","52","51","53","53","50","51","52","53","55","54"
"6","California","42","43","45","44","41","40","38","33","36","34","35","35","36","34","34","35","37","37","36","35","35","36","35","33","33","33","34","34","34","33","33","33","34","32","34","34","33","34"
"7","Colorado","45","46","52","47","45","42","41","40","41","40","40","42","41","40","41","40","40","42","43","42","42","42","43","40","39","42","42","42","41","42","43","39","41","40","41","39","43","42"
"8","Connecticut","47","43","46","46","40","38","38","34","36","38","39","37","39","40","38","38","40","42","40","40","39","40","38","38","36","37","37","37","36","37","37","37","37","36","37","38","39","40"
"9","Delaware","49","48","53","49","45","41","45","40","38","40","38","40","41","43","39","41","40","42","41","39","39","41","42","40","41","42","42","41","41","44","42","41","43","37","39","41","43","43"
"10","District of Columbia","30","32","32","30","27","21","23","16","17","16","16","19","16","16","17","19","19","22","20","17","17","17","18","17","16","18","17","18","17","19","18","17","21","17","17","19","18","19"
"11","Florida","56","56","56","56","51","48","47","47","48","49","47","49","50","49","48","48","50","51","50","49","49","49","49","46","46","47","47","47","48","47","48","48","48","47","49","48","49","50"
"12","Georgia","53","54","55","51","50","48","49","46","47","50","48","47","51","50","50","49","51","50","50","50","50","49","49","46","47","47","50","49","48","48","49","48","49","46","46","47","48","49"
"13","Hawaii","38","40","43","39","34","32","31","30","31","31","32","33","30","32","33","33","35","37","37","37","32","33","38","34","34","36","34","31","32","37","38","35","33","32","31","34","35","38"
"14","Idaho","59","61","60","64","58","56","54","56","55","51","51","51","53","54","52","53","56","55","56","55","56","56","56","53","56","57","55","57","58","57","57","55","58","57","57","56","60","58"
"15","Illinois","49","47","46","53","45","39","38","31","37","38","35","36","37","38","36","37","37","38","38","38","37","38","38","37","37","38","37","37","38","38","39","38","37","36","38","37","39","39"
"16","Indiana","55","54","57","59","49","50","47","47","50","48","48","49","48","49","48","51","52","51","51","51","50","52","52","52","50","50","50","50","49","49","51","49","49","50","49","50","53","53"
"17","Iowa","49","49","49","49","44","43","43","42","42","42","43","42","43","47","43","45","44","46","45","44","44","43","44","43","41","43","43","44","42","42","43","44","42","42","42","44","44","46"
"18","Kansas","56","56","59","57","54","54","51","47","50","50","48","47","50","51","48","52","52","51","53","52","50","52","50","49","49","51","52","49","48","50","51","50","50","51","50","52","52","51"
"19","Kentucky","61","61","61","58","54","54","53","53","54","51","54","53","55","55","55","55","55","55","55","55","56","56","56","55","55","56","56","56","55","56","55","55","56","54","55","55","55","57"
"20","Louisiana","59","62","61","65","57","54","56","53","57","55","52","53","57","59","58","59","60","59","59","60","58","57","58","54","55","57","56","58","56","55","56","55","56","54","53","53","56","59"
"21","Maine","48","50","52","47","47","42","44","42","42","42","38","42","40","46","42","43","45","48","45","45","42","45","44","45","43","42","43","41","44","43","42","42","42","42","42","46","45","46"
"22","Maryland","38","38","41","41","41","35","35","34","33","33","36","35","36","37","36","36","38","37","38","37","35","36","36","34","33","35","35","33","33","34","35","34","36","35","35","36","36","36"
"23","Massachusetts","43","42","42","40","37","35","33","31","32","32","32","32","32","34","33","32","35","36","35","36","35","35","36","33","33","33","34","34","35","35","34","33","33","32","34","33","34","36"
"24","Michigan","48","49","50","46","45","40","43","39","40","40","40","41","42","43","41","42","43","44","42","42","41","42","43","41","40","40","42","43","42","40","42","42","43","42","41","40","42","43"
"25","Minnesota","46","48","48","43","43","42","39","38","39","40","37","38","41","42","40","39","41","41","41","40","40","41","43","41","39","39","41","42","40","41","41","41","43","41","42","43","45","46"
"26","Mississippi","61","61","62","58","54","52","55","50","54","55","51","55","56","58","59","61","59","60","60","61","58","59","57","56","54","57","58","58","56","57","59","58","59","56","57","55","55","55"
"27","Missouri","53","58","54","52","51","48","48","47","49","49","50","49","49","50","50","50","50","50","52","51","51","52","53","49","47","50","52","50","51","48","51","51","51","51","50","51","53","52"
"28","Montana","56","54","57","62","55","52","52","50","50","50","50","49","48","53","50","50","50","52","51","50","51","53","54","50","49","48","51","50","50","52","51","49","47","48","48","50","51","52"
"29","Nebraska","56","55","56","57","55","51","50","49","50","51","49","49","51","53","52","50","51","51","51","49","50","53","51","52","48","50","51","50","49","49","48","50","47","46","46","49","49","52"
"30","Nevada","49","55","52","51","51","47","48","44","44","42","44","44","47","44","45","45","47","44","45","46","44","44","45","42","42","43","43","45","42","43","43","42","43","41","45","42","41","43"
"31","New Hampshire","45","45","46","47","46","42","41","39","38","42","42","40","43","40","43","43","41","43","42","42","40","43","42","44","39","39","42","39","39","37","40","39","38","39","41","39","42","40"
"32","New Jersey","46","47","47","45","43","40","39","38","38","39","38","39","40","41","38","41","40","42","42","41","39","41","42","39","39","40","40","40","39","41","41","39","40","40","41","41","42","42"
"33","New Mexico","52","50","51","59","52","43","45","45","43","39","37","40","38","42","42","41","41","42","42","40","41","39","40","38","39","43","43","42","41","40","42","40","41","40","44","43","43","43"
"34","New York","49","49","50","51","45","42","42","35","37","36","38","38","39","37","36","37","37","38","38","39","37","38","37","36","36","37","37","36","37","36","36","36","37","36","36","36","37","38"
"35","North Carolina","53","54","53","52","52","49","49","47","47","45","46","46","47","49","48","49","49","49","48","49","47","49","49","46","46","48","49","47","46","47","48","47","47","47","47","48","48","51"
"36","North Dakota","56","55","60","54","50","51","49","50","51","51","52","51","53","52","53","49","51","51","50","51","52","55","50","52","50","52","52","51","48","51","51","52","49","51","49","51","53","53"
"37","Ohio","51","51","53","53","46","47","48","43","46","44","44","44","46","49","46","45","46","47","48","45","46","48","48","46","45","45","45","46","46","45","45","46","46","46","46","46","47","48"
"38","Oklahoma","61","61","64","61","58","58","55","54","56","55","55","54","55","55","53","53","53","56","55","53","57","56","56","54","53","52","53","54","52","54","56","55","54","52","53","52","56","56"
"39","Oregon","45","46","46","46","42","40","39","37","39","37","37","37","37","39","37","37","39","39","38","36","38","39","38","37","37","37","39","37","37","39","39","38","36","36","36","38","40","38"
"40","Pennsylvania","49","51","51","51","48","45","46","42","45","44","43","45","46","46","44","45","46","46","45","45","44","45","46","45","43","45","45","45","45","44","45","44","45","44","45","46","48","48"
"41","Rhode Island","42","44","44","47","43","38","42","32","35","35","35","36","37","36","36","37","36","39","38","37","35","39","40","38","39","39","38","37","38","38","38","37","38","35","37","37","38","39"
"42","South Carolina","56","59","59","58","50","50","53","51","51","52","51","50","51","55","53","53","55","54","54","54","54","56","54","52","52","54","54","53","53","52","54","53","52","52","52","51","55","55"
"43","South Dakota","54","56","62","62","58","52","51","51","51","52","52","53","53","52","54","54","55","55","56","56","51","55","57","55","51","50","54","53","51","50","53","51","49","52","50","51","53","54"
"44","Tennessee","61","59","61","61","55","55","54","53","53","53","53","53","56","57","55","56","58","55","56","58","58","58","60","56","54","56","56","57","56","57","58","57","55","56","56","56","57","57"
"45","Texas","54","56","59","56","54","51","52","49","51","48","48","49","51","51","50","51","50","53","52","50","51","51","51","49","48","49","50","50","49","50","51","50","49","49","49","48","51","52"
"46","Utah","58","58","56","56","52","55","49","50","52","48","45","43","46","47","45","46","48","48","47","50","45","47","50","49","45","49","49","51","49","49","50","49","47","47","49","52","52","54"
"47","Vermont","43","39","43","44","36","36","34","32","33","32","31","33","30","30","32","35","34","38","37","33","33","35","36","33","31","32","32","30","32","35","34","32","32","32","28","31","32","29"
"48","Virginia","49","52","51","50","53","50","47","43","42","45","44","44","45","46","43","45","45","46","45","45","45","46","46","46","43","46","46","45","45","46","46","45","45","45","45","46","47","46"
"49","Washington","45","45","46","46","45","42","40","36","37","34","35","36","36","36","36","35","36","37","37","35","35","36","37","36","35","34","35","35","33","34","35","33","34","34","34","36","36","35"
"50","West Virginia","62","62","61","62","59","53","55","54","59","61","58","59","59","59","61","62","62","60","63","64","62","61","63","61","60","59","60","58","57","58","57","59","58","58","58","59","59","61"
"51","Wisconsin","47","47","47","48","44","42","42","40","41","40","41","40","42","44","42","41","42","41","41","42","40","44","43","42","40","41","42","42","42","42","41","42","43","40","41","44","43","43"
"52","Wyoming","63","66","71","68","66","62","65","58","60","65","59","61","60","64","63","61","62","60","63","65","61","64","66","64","63","61","61","62","59","59","58","59","57","62","66","62","62","62"
