"","ï..Demographic","January..17","February..17","March..17","April..17","May..17","June..17","July..17","August..17","September..17","October..17","November..17","December..17","January..18","February..18","March..18","April..18","May..18","June..18","July..18","August..18","September..18","October..18","November..18","December..18","January..19","February..19","March..19","April..19","May..19","June..19","July..19","August..19","September..19","October..19","November..19","December..19","January..20","February..20"
"1","","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval"
"2","Alabama","26","29","32","33","38","41","38","38","36","35","35","35","33","35","33","34","33","33","33","33","34","34","34","37","38","35","35","35","34","36","35","36","37","38","37","37","37","34"
"3","Alaska","31","35","29","32","35","38","41","46","43","42","46","43","47","42","43","44","44","43","40","43","44","41","41","45","47","46","47","47","47","45","48","47","47","48","43","49","47","46"
"4","Arizona","35","40","43","41","45","47","48","49","51","49","50","48","49","47","49","48","47","48","48","49","50","47","49","51","52","51","51","52","51","52","52","50","50","50","50","50","49","48"
"5","Arkansas","29","34","35","39","41","41","39","40","40","41","43","42","40","40","40","42","41","41","41","40","42","40","41","42","43","44","44","43","44","45","44","44","46","45","44","43","42","43"
"6","California","48","51","50","52","54","54","55","56","58","61","60","60","59","61","62","61","58","59","59","61","61","60","61","62","63","63","62","63","62","62","63","63","62","64","62","62","63","62"
"7","Colorado","44","47","43","49","50","52","53","55","54","55","56","54","55","56","56","56","56","55","53","54","55","54","53","56","57","54","55","55","55","55","55","57","56","58","56","57","53","55"
"8","Connecticut","42","52","48","50","55","58","57","62","59","58","58","58","58","58","59","58","56","54","56","56","56","56","58","58","60","59","60","60","60","60","59","61","60","61","59","59","58","57"
"9","Delaware","41","46","42","47","51","54","51","54","57","56","57","56","55","54","57","55","57","54","56","57","57","55","55","56","56","55","55","56","56","53","55","56","54","60","57","56","54","53"
"10","District of Columbia","61","63","64","67","70","74","73","78","78","81","80","77","80","82","80","78","77","75","77","79","79","77","78","79","81","79","80","78","79","78","79","80","76","79","79","77","77","76"
"11","Florida","34","38","39","40","44","47","49","48","47","47","48","47","45","47","48","48","45","45","46","47","47","47","47","49","50","49","49","49","48","50","49","48","49","49","48","49","48","47"
"12","Georgia","35","39","40","45","45","47","47","48","47","46","47","47","44","46","45","46","44","45","46","45","45","46","46","49","49","48","45","46","47","48","47","48","48","49","49","49","48","47"
"13","Hawaii","51","54","52","57","61","63","65","63","64","65","64","63","66","65","64","64","61","60","60","60","64","63","58","62","63","61","63","65","65","60","60","62","63","64","66","62","62","59"
"14","Idaho","30","33","35","31","38","38","41","39","41","44","44","44","42","40","44","43","40","41","40","41","40","40","40","42","41","39","41","40","38","39","40","42","38","39","39","40","37","39"
