"","Staat","Differenz"
"1","Illinois",22
"2","New Mexico",22
"3","Alaska",19
"4","Delaware",16
"5","District of Columbia",16
"6","New York",16
"7","Vermont",16
"8","Montana",15
"9","Rhode Island",15
"10","Utah",15
"11","Maine",14
"12","Nevada",14
"13","Wyoming",14
"14","California",13
"15","Colorado",13
"16","Connecticut",13
"17","Hawaii",13
"18","Idaho",13
"19","Louisiana",13
"20","South Dakota",13
"21","Washington",13
"22","Indiana",12
"23","Kansas",12
"24","Massachusetts",12
"25","Mississippi",12
"26","North Dakota",12
"27","Oklahoma",12
"28","Alabama",11
"29","Arizona",11
"30","Michigan",11
"31","Minnesota",11
"32","Missouri",11
"33","Nebraska",11
"34","Texas",11
"35","Virginia",11
"36","West Virginia",11
"37","Arkansas",10
"38","Florida",10
"39","Kentucky",10
"40","New Hampshire",10
"41","Ohio",10
"42","Oregon",10
"43","Georgia",9
"44","New Jersey",9
"45","North Carolina",9
"46","Pennsylvania",9
"47","South Carolina",9
"48","Iowa",8
"49","Maryland",8
"50","Tennessee",8
"51","Wisconsin",8
