"","Staat","Varianz"
"1","Kentucky",4.19630156472262
"2","Missouri",4.24537695590327
"3","Wisconsin",4.28520625889047
"4","Georgia",4.32147937411095
"5","Maryland",4.40682788051209
"6","Pennsylvania",4.44736842105263
"7","North Carolina",4.61735419630156
"8","Iowa",4.69985775248933
"9","Arkansas",4.78520625889047
"10","Tennessee",4.83357041251778
"11","North Dakota",4.99573257467994
"12","South Carolina",5.09601706970128
"13","Ohio",5.21194879089616
"14","Alabama",5.28093883357041
"15","New Jersey",5.30583214793741
"16","Texas",5.75817923186344
"17","Virginia",5.86415362731152
"18","West Virginia",5.87553342816501
"19","New Hampshire",5.96870554765292
"20","Michigan",6.12304409672831
"21","Colorado",6.1827880512091
"22","Indiana",6.46657183499289
"23","Minnesota",6.4701280227596
"24","Nebraska",6.70839260312944
"25","Kansas",6.9651493598862
"26","Florida",7.19843527738265
"27","Oregon",7.60455192034139
"28","Idaho",7.64793741109531
"29","Maine",7.69630156472262
"30","Oklahoma",7.7126600284495
"31","Louisiana",7.79302987197724
"32","Connecticut",8.04623044096728
"33","Mississippi",8.05405405405405
"34","Arizona",8.19985775248933
"35","Montana",8.20839260312944
"36","Massachusetts",8.29302987197724
"37","Rhode Island",8.71194879089616
"38","South Dakota",8.78591749644381
"39","Wyoming",8.88762446657183
"40","Hawaii",9.47439544807966
"41","Nevada",10.1827880512091
"42","Delaware",10.9160739687055
"43","California",11.0220483641536
"44","Utah",13.3911806543385
"45","Vermont",13.6842105263158
"46","Washington",14.0426742532006
"47","Illinois",16.373399715505
"48","New York",18.4153627311522
"49","New Mexico",20.3328591749644
"50","District of Columbia",20.7318634423898
"51","Alaska",21.4203413940256
